DIA_SEMANA,ANIO_Y__MES_EVENTO,SEMANA_ANIO,DIA_EVENTO
Sabado,200812,49,6
Miercoles,201002,5,3
Viernes,200706,26,29
Sabado,200909,36,5
Domingo,200904,15,12
Martes,200610,42,17
Martes,200506,26,28
Sabado,200809,36,6
Jueves,200806,26,26
Viernes,200904,15,10
Martes,200707,30,24
Jueves,200707,27,5
Miercoles,200808,33,13
Miercoles,200603,11,15
Lunes,200809,39,22
Sabado,200211,45,9
Viernes,200309,36,5
Domingo,200706,22,3
Martes,200504,16,19
Domingo,201003,11,21
Miercoles,200907,29,15
Sabado,200804,17,26
Viernes,200810,42,17
Jueves,200506,22,2
Lunes,200508,33,15
Lunes,201010,42,18
Domingo,200907,28,12
Lunes,200612,52,25
Martes,200507,30,26
Miercoles,200912,51,16
Domingo,200606,22,4
Lunes,200711,45,5
Lunes,200207,31,29
